,Unnamed: 0,Date,Host,Result,Guest,Status,Season,Host: Average shots stvor,Guest: Average shots stvor,Host: Average corner situation,Guest: Average corner situation,Host: SCR,Guest: SCR,Host: Ball control,Guest: Ball control
97,97,01.07.2020,Bologna,1 : 1,Cagliari,Завершен,italy-serie-a-2019-2020,4.53,4.05,6.0,4.05,0.1269265639165911,0.15283842794759825,52.87,45.37
98,98,30.06.2020,Genoa,1 : 3,Juventus,Завершен,italy-serie-a-2019-2020,4.13,6.26,4.37,6.18,0.13921113689095127,0.14695077149155034,49.37,58.16
99,99,30.06.2020,Torino,1 : 2,Lazio,Завершен,italy-serie-a-2019-2020,3.89,5.95,4.74,5.74,0.13303769401330376,0.18229166666666669,47.45,50.45
100,100,28.06.2020,Parma,1 : 2,Inter,Завершен,italy-serie-a-2019-2020,4.11,6.18,4.39,6.18,0.15739769150052466,0.17170891251022077,43.63,54.21
101,101,28.06.2020,Udinese,2 : 3,Atalanta,Завершен,italy-serie-a-2019-2020,3.92,7.34,5.26,6.53,0.10559662090813093,0.1882693700217234,44.66,57.63
102,102,28.06.2020,Sampdoria,1 : 2,Bologna,Завершен,italy-serie-a-2019-2020,4.66,4.53,5.13,6.0,0.11423550087873462,0.1269265639165911,42.53,52.87
103,103,28.06.2020,Sassuolo,3 : 3,Hellas Verona,Завершен,italy-serie-a-2019-2020,5.29,4.45,5.45,5.45,0.16869728209934395,0.14134275618374556,57.71,49.68
104,104,28.06.2020,Napoli,3 : 1,SPAL,Завершен,italy-serie-a-2019-2020,6.21,3.34,5.84,4.16,0.11976047904191618,0.07179487179487179,59.32,46.55
105,105,28.06.2020,Milan,2 : 0,Roma,Завершен,italy-serie-a-2019-2020,5.21,5.71,5.47,7.03,0.13385826771653545,0.14992503748125938,55.24,53.03
106,106,27.06.2020,Lazio,2 : 1,Fiorentina,Завершен,italy-serie-a-2019-2020,5.95,5.08,5.74,5.5,0.18229166666666669,0.12404580152671756,50.45,47.53
107,107,27.06.2020,Cagliari,4 : 2,Torino,Завершен,italy-serie-a-2019-2020,4.05,3.89,4.05,4.74,0.15283842794759825,0.13303769401330376,45.37,47.45
108,108,27.06.2020,Brescia,2 : 2,Genoa,Завершен,italy-serie-a-2019-2020,3.68,4.13,4.21,4.37,0.11138613861386139,0.13921113689095127,40.05,49.37
109,109,26.06.2020,Juventus,4 : 0,Lecce,Завершен,italy-serie-a-2019-2020,6.26,4.58,6.18,4.79,0.14695077149155034,0.13888888888888887,58.16,44.58
110,110,24.06.2020,Atalanta,3 : 2,Lazio,Завершен,italy-serie-a-2019-2020,7.34,5.95,6.53,5.74,0.1882693700217234,0.18229166666666669,57.63,50.45
111,111,24.06.2020,Roma,2 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020,5.71,4.66,7.03,5.13,0.14992503748125938,0.11423550087873462,53.03,42.53
112,112,24.06.2020,Inter,3 : 3,Sassuolo,Завершен,italy-serie-a-2019-2020,6.18,5.29,6.18,5.45,0.17170891251022077,0.16869728209934395,54.21,57.71
113,113,23.06.2020,Genoa,1 : 4,Parma,Завершен,italy-serie-a-2019-2020,4.13,4.11,4.37,4.39,0.13921113689095127,0.15739769150052466,49.37,43.63
114,114,23.06.2020,Torino,1 : 0,Udinese,Завершен,italy-serie-a-2019-2020,3.89,3.92,4.74,5.26,0.13303769401330376,0.10559662090813093,47.45,44.66
115,115,23.06.2020,SPAL,0 : 1,Cagliari,Завершен,italy-serie-a-2019-2020,3.34,4.05,4.16,4.05,0.07179487179487179,0.15283842794759825,46.55,45.37
116,116,23.06.2020,Hellas Verona,0 : 2,Napoli,Завершен,italy-serie-a-2019-2020,4.45,6.21,5.45,5.84,0.14134275618374556,0.11976047904191618,49.68,59.32
117,117,22.06.2020,Bologna,0 : 2,Juventus,Завершен,italy-serie-a-2019-2020,4.53,6.26,6.0,6.18,0.1269265639165911,0.14695077149155034,52.87,58.16
118,118,22.06.2020,Fiorentina,1 : 1,Brescia,Завершен,italy-serie-a-2019-2020,5.08,3.68,5.5,4.21,0.12404580152671756,0.11138613861386139,47.53,40.05
119,119,22.06.2020,Lecce,1 : 4,Milan,Завершен,italy-serie-a-2019-2020,4.58,5.21,4.79,5.47,0.13888888888888887,0.13385826771653545,44.58,55.24
120,120,09.03.2020,Sassuolo,3 : 0,Brescia,Завершен,italy-serie-a-2019-2020,5.29,3.68,5.45,4.21,0.16869728209934395,0.11138613861386139,57.71,40.05
121,121,08.03.2020,Juventus,2 : 0,Inter,Завершен,italy-serie-a-2019-2020,6.26,6.18,6.18,6.18,0.14695077149155034,0.17170891251022077,58.16,54.21
122,122,08.03.2020,Udinese,0 : 0,Fiorentina,Завершен,italy-serie-a-2019-2020,3.92,5.08,5.26,5.5,0.10559662090813093,0.12404580152671756,44.66,47.53
123,123,08.03.2020,Milan,1 : 2,Genoa,Завершен,italy-serie-a-2019-2020,5.21,4.13,5.47,4.37,0.13385826771653545,0.13921113689095127,55.24,49.37
124,124,08.03.2020,Sampdoria,2 : 1,Hellas Verona,Завершен,italy-serie-a-2019-2020,4.66,4.45,5.13,5.45,0.11423550087873462,0.14134275618374556,42.53,49.68
125,125,08.03.2020,Parma,0 : 1,SPAL,Завершен,italy-serie-a-2019-2020,4.11,3.34,4.39,4.16,0.15739769150052466,0.07179487179487179,43.63,46.55
126,126,01.03.2020,Cagliari,3 : 4,Roma,Завершен,italy-serie-a-2019-2020,4.05,5.71,4.05,7.03,0.15283842794759825,0.14992503748125938,45.37,53.03
127,127,01.03.2020,Lecce,2 : 7,Atalanta,Завершен,italy-serie-a-2019-2020,4.58,7.34,4.79,6.53,0.13888888888888887,0.1882693700217234,44.58,57.63
128,128,29.02.2020,Napoli,2 : 1,Torino,Завершен,italy-serie-a-2019-2020,6.21,3.89,5.84,4.74,0.11976047904191618,0.13303769401330376,59.32,47.45
129,129,29.02.2020,Lazio,2 : 0,Bologna,Завершен,italy-serie-a-2019-2020,5.95,4.53,5.74,6.0,0.18229166666666669,0.1269265639165911,50.45,52.87
130,130,21.06.2020,Inter,2 : 1,Sampdoria,Завершен,italy-serie-a-2019-2020,6.18,4.66,6.18,5.13,0.17170891251022077,0.11423550087873462,54.21,42.53
131,131,21.06.2020,Atalanta,4 : 1,Sassuolo,Завершен,italy-serie-a-2019-2020,7.34,5.29,6.53,5.45,0.1882693700217234,0.16869728209934395,57.63,57.71
132,132,20.06.2020,Hellas Verona,2 : 1,Cagliari,Завершен,italy-serie-a-2019-2020,4.45,4.05,5.45,4.05,0.14134275618374556,0.15283842794759825,49.68,45.37
133,133,20.06.2020,Torino,1 : 1,Parma,Завершен,italy-serie-a-2019-2020,3.89,4.11,4.74,4.39,0.13303769401330376,0.15739769150052466,47.45,43.63
134,134,23.02.2020,Roma,4 : 0,Lecce,Завершен,italy-serie-a-2019-2020,5.71,4.58,7.03,4.79,0.14992503748125938,0.13888888888888887,53.03,44.58
135,135,23.02.2020,Genoa,2 : 3,Lazio,Завершен,italy-serie-a-2019-2020,4.13,5.95,4.37,5.74,0.13921113689095127,0.18229166666666669,49.37,50.45
136,136,22.02.2020,Fiorentina,1 : 1,Milan,Завершен,italy-serie-a-2019-2020,5.08,5.21,5.5,5.47,0.12404580152671756,0.13385826771653545,47.53,55.24
137,137,22.02.2020,SPAL,1 : 2,Juventus,Завершен,italy-serie-a-2019-2020,3.34,6.26,4.16,6.18,0.07179487179487179,0.14695077149155034,46.55,58.16
138,138,22.02.2020,Bologna,1 : 1,Udinese,Завершен,italy-serie-a-2019-2020,4.53,3.92,6.0,5.26,0.1269265639165911,0.10559662090813093,52.87,44.66
139,139,21.02.2020,Brescia,1 : 2,Napoli,Завершен,italy-serie-a-2019-2020,3.68,6.21,4.21,5.84,0.11138613861386139,0.11976047904191618,40.05,59.32
140,140,17.02.2020,Milan,1 : 0,Torino,Завершен,italy-serie-a-2019-2020,5.21,3.89,5.47,4.74,0.13385826771653545,0.13303769401330376,55.24,47.45
141,141,16.02.2020,Lazio,2 : 1,Inter,Завершен,italy-serie-a-2019-2020,5.95,6.18,5.74,6.18,0.18229166666666669,0.17170891251022077,50.45,54.21
142,142,16.02.2020,Cagliari,0 : 1,Napoli,Завершен,italy-serie-a-2019-2020,4.05,6.21,4.05,5.84,0.15283842794759825,0.11976047904191618,45.37,59.32
143,143,16.02.2020,Juventus,2 : 0,Brescia,Завершен,italy-serie-a-2019-2020,6.26,3.68,6.18,4.21,0.14695077149155034,0.11138613861386139,58.16,40.05
144,144,16.02.2020,Sampdoria,1 : 5,Fiorentina,Завершен,italy-serie-a-2019-2020,4.66,5.08,5.13,5.5,0.11423550087873462,0.12404580152671756,42.53,47.53
145,145,16.02.2020,Sassuolo,0 : 1,Parma,Завершен,italy-serie-a-2019-2020,5.29,4.11,5.45,4.39,0.16869728209934395,0.15739769150052466,57.71,43.63
146,146,16.02.2020,Udinese,0 : 0,Hellas Verona,Завершен,italy-serie-a-2019-2020,3.92,4.45,5.26,5.45,0.10559662090813093,0.14134275618374556,44.66,49.68
147,147,15.02.2020,Atalanta,2 : 1,Roma,Завершен,italy-serie-a-2019-2020,7.34,5.71,6.53,7.03,0.1882693700217234,0.14992503748125938,57.63,53.03
148,148,15.02.2020,Bologna,0 : 3,Genoa,Завершен,italy-serie-a-2019-2020,4.53,4.13,6.0,4.37,0.1269265639165911,0.13921113689095127,52.87,49.37
149,149,15.02.2020,Lecce,2 : 1,SPAL,Завершен,italy-serie-a-2019-2020,4.58,3.34,4.79,4.16,0.13888888888888887,0.07179487179487179,44.58,46.55
